Site,Replicate,carapace_width
NB,26,14.16
NB,27,15.85
NB,28,17.13
NB,29,17.13
CC,1,17.39
CC,2,19.33
CC,3,18.84
CC,4,14.8
CC,5,18.07
CC,6,19.31
CC,7,17.1
CC,8,17.17
CC,9,18.39
CC,10,18.94
CC,11,15.58
CC,12,18.82
CC,13,16.25
CC,14,16.63
CC,15,15.54
CC,16,19.27
CC,17,14.4
CC,18,19.85
CC,19,16.74
CC,20,13.84
CC,21,16.54
CC,22,16.07
CC,23,15.28
CC,24,16.69
CC,25,16.79
CC,26,10.62
CC,27,15.76
BC,1,23.43
BC,2,17
BC,3,19.17
BC,4,16.35
BC,5,21.49
BC,6,22.02
BC,7,22.21
BC,8,22.44
BC,9,21.92
BC,10,19.8
BC,11,21.03
BC,12,18.41
BC,13,20.19
BC,14,17.97
BC,15,11.56
BC,16,19.58
BC,17,18.1
BC,18,15.22
BC,19,19.25
BC,20,19.99
BC,21,21.81
BC,22,21.39
BC,23,17.33
BC,24,11.39
BC,25,10.15
BC,26,12.92
BC,27,9.42
BC,28,12.74
BC,29,11.58
BC,30,10.1
BC,31,11.77
BC,32,11.51
BC,33,9.01
BC,34,10.04
BC,35,10.91
BC,36,10.24
BC,37,9.86
PIE,1,17.58
PIE,2,21.19
PIE,3,20.2
PIE,4,18.75
PIE,5,17.54
PIE,6,22.13
PIE,7,19.51
PIE,8,18.09
PIE,9,17.98
PIE,10,19.96
PIE,11,18.94
PIE,12,20.37
PIE,13,17.75
PIE,14,16.29
PIE,15,9.92
PIE,16,16.18
PIE,17,18.06
PIE,18,19.37
PIE,19,17.52
PIE,20,17.71
PIE,21,20.42
PIE,22,20.24
PIE,23,18.67
PIE,24,17.92
PIE,25,21.2
PIE,26,16.25
PIE,27,20.32
PIE,28,18.05
